/* DATA DESCRIPTION:
Citation:	Milcu, Alexandru; Puga-Freitas, Ruben; Ellison, Aaron M; Blouin, Manuel; Scheu, Stefan; Girin, Thomas; Freschet, Grégoire T; Rose, Laura; Scherer-Lorenzen, Michael; Barot, Sebastien; Lata, Jean-Christophe; Cesarz, Simone; Eisenhauer, Nico; Gigon, Agnès; Weigelt, Alexandra; Hansart, Amandine; Greiner, Anna; Pando, Anne; Gessler, Arthur; Grignani, Carlo; Assandri, Davide; Gleixner, Gerd; LeGalliard, Jean-Francois; Urban-Mead, Katherine; Zavattaro, Laura; Müller, Marina E H; Lange, Markus; Lukac, Martin; Bonkowski, Michael; Mannerheim, Neringa; Buchmann, Nina; Butenschoen, Olaf; Rotter, Paula; Seyhun, Rahme; Devidal, Sébastien; Kayler, Zachary; Roy, Jacques (2017): Data from 14 labortories testing the impact of introduced variability on the reproducibility of a microcosm ecological experiment. PANGAEA, https://doi.org/10.1594/PANGAEA.880980, 
	Supplement to: Milcu, A et al. (2018): Genotypic variability enhances the reproducibility of an ecological study. Nature Ecology & Evolution, 2, 279-287, https://doi.org/10.1038/s41559-017-0434-x
Abstract:	Although microcosm experiments are a frequent tool used to address fundamental ecological questions, there has been no quantitative assessment of the reproducibility of any microcosm experiment. This dataset contains the response variables measured in a multi-laboratory microcosm study in which the same microcosm experiment was repeated in 14 laboratories across Europe. All laboratories simultaneously run a simple microcosm experiment using grass (Brachypodium distachyon L.) monocultures and grass and legume (Medicago truncatula Gaertn.) mixtures. All twelve variables were then used to calculate the effect of the presence of nitrogen-fixing legume on the grass-legume mixtures (i.e. the net legume effect).
	The project tested a controversial hypotheses postulating that stringent levels of environmental and biotic standardization in experimental studies reduces reproducibility by amplifying impacts of lab-specific environmental factors not accounted for in the experimental design. This implies that the deliberate introduction of controlled systematic variability (CSV) in experimental designs can increase reproducibility. To test this hypothesis, each laboratory followed the same experimental protocol and introduced environmental and genotypic controlled systematic variability (CSV) within and among replicated microcosms established in either growth chambers (with stringent control of environmental conditions) or glasshouses (with more variable environmental conditions). Data were used to test the extent to which the effect size of the net legume effect varied with the CSV treatment and to estimate the number of laboratories that produced results that can be considered reproducible.
Parameter(s):	Laboratory (Lab) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr)
	Method comment (Method comm) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr) * COMMENT: type of setup
	Identification (ID) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr) * COMMENT: Microcosm ID
	Block (Block) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr)
	Treatment (Treat) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr) * COMMENT: legume
	Treatment (Treat) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr) * COMMENT: controlled systematic variabiliy
	Genotype (Genotype) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr)
	Biomass, dry mass [g] (Biom dm) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr) * COMMENT: seed
	Biomass, dry mass [g] (Biom dm) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr) * COMMENT: shoot
	Biomass, dry mass [g] (Biom dm) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr) * COMMENT: root
	Biomass, dry mass [g] (Biom dm) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr) * COMMENT: total
	Root/shoot ratio (Root/shoot) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr) * COMMENT: biomass
	Brachypodium distachyon, height [cm] (B. distachyon height) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr)
	Nitrogen, shoot [%] (N shoot) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr)
	Carbon, shoot [%] (C shoot) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr)
	δ15N [‰ air] (δ15N) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr)
	δ13C [‰ PDB] (δ13C) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr)
	Evapotranspiration [ml/day] (ET) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr)
	Litter [g] (Litter) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr) * COMMENT: mass remaining
License:	Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported (CC-BY-NC-ND-3.0)
Size:	18824 data points
*/
Lab	Method comm	ID	Block	Treat (legume)	Treat (controlled systematic variabiliy)	Genotype	Biom dm [g] (seed)	Biom dm [g] (shoot)	Biom dm [g] (root)	Biom dm [g] (total)	Root/shoot	B. distachyon height [cm]	N shoot [%]	C shoot [%]	δ15N [‰ air]	δ13C [‰ PDB]	ET [ml/day]	Litter [g]
L6	growth_chamber	64	block2	BM	GENw	B1	0.099	3.845	2.247	6.191	2.247	21.7	1.052	44.528	2.525	-33.988	134.2	0.71
L6	growth_chamber	65	block2	BM	GENw	B1	0.166	4.416	3.427	8.009	3.427	23.7	0.893		1.970	-34.205	160.9	0.55
L6	growth_chamber	66	block2	BM	GENw	B1	0.109	3.687	4.959	8.755	4.959	25.5	0.985	45.239	2.990	-34.351	148.2	0.54
L6	growth_chamber	67	block2	BM	GENb	B1	0.353	4.731	3.207	8.291	3.207	27.6	0.893	44.806	1.709	-34.353	200.8	0.55
L6	growth_chamber	68	block2	BM	GENb	B1	0.085	3.919	1.560	5.564	1.560	23.9		40.281	2.266	-33.671	125.2	0.57
L6	growth_chamber	69	block2	BM	GENb	B1	0.220	4.099	2.489	6.808	2.489	26.5	0.910		2.505	-34.169	134.0	0.63
L6	growth_chamber	70	block2	BM	ENVw+GENw	B1	0.173	4.461	1.775	6.409	1.775	28.4	0.975	42.922	2.789	-34.109		0.51
L6	growth_chamber	71	block2	BM	ENVw+GENw	B1	0.037	4.437	2.937	7.411	2.937			41.076	2.594	-34.115	133.1	0.50
L6	growth_chamber	72	block2	BM	ENVw+GENw	B1	0.110	5.108	3.345	8.563	3.345	24.7	0.875		2.615	-33.999	179.3	0.53
L7	growth_chamber	1	block1	B	CTR	B1	2.798	1.498	0.989	5.285	0.989	26.8	2.102	43.572		-34.459	112.3	0.71
L7	growth_chamber	2	block1	B	CTR	B1	2.639	1.515	0.852	5.006	0.852	27.6	1.448	43.470	2.207	-34.128	95.9	1.03
L7	growth_chamber	3	block1	B	CTR	B1	2.061	1.358	0.628	4.047	0.628	23.9	2.503	43.261	2.156	-33.904	118.3	0.59
L7	growth_chamber	4	block1	B	ENVw	B1	2.297	1.425	0.759	4.481	0.759	25.5	1.515	43.084	3.139	-34.096	77.9	1.40
L7	growth_chamber	5	block1	B	ENVw	B1	2.210	1.324	0.599	4.133	0.599	25.4	1.641	43.110	2.901	-34.139	124.4	0.70
L7	growth_chamber	6	block1	B	ENVw	B1	2.383	1.722	1.000	5.105	1.000	28.4	0.451	44.089	2.945	-34.080	83.4	1.41
L7	growth_chamber	7	block1	B	ENVb	B1	2.605	1.695	1.658	5.958	1.658	29.0	1.327	43.143	2.765	-33.622	111.2	1.00
L7	growth_chamber	8	block1	B	ENVb	B1	2.536	1.535	0.666	4.737	0.666	27.6	1.203	43.465	2.228	-34.131	75.3	1.33
L7	growth_chamber	9	block1	B	ENVb	B1	2.527	1.747	0.662	4.936	0.662	27.6	1.181	43.687	3.084	-34.130	131.5	0.63
L7	growth_chamber	10	block1	B	GENw	B2	2.791	1.952	1.028	5.771	1.028	33.0					90.2	0.67
L7	growth_chamber	11	block1	B	GENw	B2	1.901	1.406	1.288	4.595	1.288	29.5					83.2	0.71
L7	growth_chamber	12	block1	B	GENw	B2	3.048	2.138	0.963	6.149	0.963	35.9					116.3	0.81
L7	growth_chamber	13	block1	B	GENb	B1	2.460	1.416	0.578	4.454	0.578	26.0	1.503	43.594	2.124	-33.721	107.3	0.59
L7	growth_chamber	14	block1	B	GENb	B2	2.778	1.685	0.516	4.979	0.516	25.5	1.285	43.905	1.714	-33.892	121.1	0.66
L7	growth_chamber	15	block1	B	GENb	B2	1.799	2.281	1.044	5.124	1.044	34.3	0.562	43.602	0.735	-33.284	110.8	
L7	growth_chamber	16	block1	B	ENVw+GENw	B2	2.220	1.636	1.181	5.037	1.181	27.9	1.334	43.685	2.438	-33.772	115.0	0.99
L7	growth_chamber	17	block1	B	ENVw+GENw	B2	2.422	2.597	0.947	5.966	0.947	34.0	0.540	43.662	2.339		121.5	0.54
L7	growth_chamber	18	block1	B	ENVw+GENw	B2	2.703	1.909	0.978	5.590	0.978	32.6					76.8	1.42
L7	growth_chamber	19	block1	BM	CTR	B1	0.674	7.523	3.571	11.768	3.571	20.3	0.595	42.698	4.060	-33.611	146.6	
L7	growth_chamber	20	block1	BM	CTR	B1	1.024	6.780	2.497	10.301	2.497	25.2	1.304		2.437	-33.594	165.3	0.79
L7	growth_chamber	21	block1	BM	CTR	B1	0.848	4.669	2.623	8.140	2.623	27.1	0.605	42.714	0.456	-34.362	121.8	1.07
L7	growth_chamber	22	block1	BM	ENVw	B1	0.964	8.481	4.765	14.210	4.765	27.0	0.566	42.735	2.532	-33.950	197.5	0.92
L7	growth_chamber	23	block1	BM	ENVw	B1	1.355	8.578	4.112	14.045	4.112	30.6	0.625		2.713	-34.089	168.5	0.98
L7	growth_chamber	24	block1	BM	ENVw	B1	0.676	5.896	3.126	9.698	3.126	22.2	1.342	42.587	1.386	-34.324	119.6	
L7	growth_chamber	25	block1	BM	ENVb	B1	0.861	4.979	2.278	8.118	2.278	27.5	0.560	43.103	1.371	-34.114	137.6	0.83
L7	growth_chamber	26	block1	BM	ENVb	B1	0.384	6.256	3.315	9.955	3.315	20.2	0.569	42.347	2.288	-33.850	121.3	
L7	growth_chamber	27	block1	BM	ENVb	B1	0.621	7.687	3.367	11.675	3.367	26.1	0.596	42.834	3.980	-34.193	137.1	1.42
L7	growth_chamber	28	block1	BM	GENw	B1	0.883	7.383	2.376	10.642	2.376	31.7	0.505	42.544	1.355	-33.586	151.3	0.74
L7	growth_chamber	29	block1	BM	GENw	B1	0.560	5.763	2.764	9.087	2.764	28.0	0.996	42.378	1.494	-33.896	169.7	0.91
L7	growth_chamber	30	block1	BM	GENw	B1	0.791	4.767	2.781	8.339	2.781		0.565	43.272	1.044	-33.471	162.5	1.12
L7	growth_chamber	31	block1	BM	GENb	B1	1.022	5.801	2.623	9.446	2.623	27.0	0.530	42.786	1.291	-34.253	107.6	0.70
L7	growth_chamber	32	block1	BM	GENb	B1	0.800	5.776	2.791	9.367	2.791	23.5	0.587	43.193	1.446	-34.424	144.2	1.00
L7	growth_chamber	33	block1	BM	GENb	B1	1.239	6.985	3.361	11.585	3.361	33.0					164.1	0.68
L7	growth_chamber	34	block1	BM	ENVw+GENw	B1	1.000	4.868	3.431	9.299	3.431	33.9					150.1	0.65
L7	growth_chamber	35	block1	BM	ENVw+GENw	B1	0.519	6.315	1.911	8.745	1.911	34.0	0.578	42.486	2.221	-33.233	130.4	0.95
L7	growth_chamber	36	block1	BM	ENVw+GENw	B1	0.876	6.048	2.822	9.746	2.822	32.9	0.620	42.324	2.862	-33.814	127.6	
L7	growth_chamber	37	block2	B	CTR	B1	2.226	1.263	1.059	4.548	1.059	25.1	1.771	42.675	3.101	-34.796	62.2	0.90
L7	growth_chamber	38	block2	B	CTR	B1	2.011	1.243	0.365	3.619	0.365	25.1	1.629	43.027	1.163	-34.533	134.2	0.63
L7	growth_chamber	39	block2	B	CTR	B1	2.708	1.458	0.786	4.952	0.786	25.1	1.723	43.595	2.132	-34.245	108.3	0.60
L7	growth_chamber	40	block2	B	ENVw	B1	2.837	1.567	0.522	4.926	0.522	27.3	1.577	43.246	2.427	-34.483	73.2	0.71
L7	growth_chamber	41	block2	B	ENVw	B1	2.641	1.493	1.544	5.678	1.544	25.7	1.678	43.556	2.968	-34.148	142.8	0.68
L7	growth_chamber	42	block2	B	ENVw	B1	2.721	1.373	1.087	5.181	1.087	27.1	1.624	42.895	3.108	-34.339	124.3	0.97
L7	growth_chamber	43	block2	B	ENVb	B1	1.005	0.474	0.392	1.871	0.392		2.535	42.745	0.692	-34.026	115.3	1.26
L7	growth_chamber	44	block2	B	ENVb	B1	2.697	1.304	0.710	4.711	0.710	26.1	1.700	42.930	3.043	-34.552	120.6	0.73
L7	growth_chamber	45	block2	B	ENVb	B1	2.370	1.149	0.483	4.002	0.483	24.8	1.928	43.103	2.148	-34.778	190.8	0.67
L7	growth_chamber	46	block2	B	GENw	B2	1.957	1.607	0.757	4.321	0.757	31.4	1.234	43.178	1.802	-33.731	147.7	0.84
L7	growth_chamber	47	block2	B	GENw	B2	2.740	1.739	1.285	5.764	1.285	32.3	2.351		1.683	-34.385	73.1	0.75
L7	growth_chamber	48	block2	B	GENw	B2	1.907	1.568	0.594	4.069	0.594	30.1	1.590	43.348	1.848	-34.770	116.8	0.56
L7	growth_chamber	49	block2	B	GENb	B1	2.397	1.050	0.777	4.224	0.777	23.2	2.119	43.015	2.362	-34.744	149.0	0.72
L7	growth_chamber	50	block2	B	GENb	B2	2.085	1.347	0.575	4.007	0.575	24.5	1.281	43.602	2.661	-34.022	130.7	0.62
L7	growth_chamber	51	block2	B	GENb	B2	1.955	1.407	0.590	3.952	0.590	28.6	0.554	43.171	3.097	-34.298		0.64
L7	growth_chamber	52	block2	B	ENVw+GENw	B2	1.891	1.587	0.827	4.305	0.827	28.1	1.063	43.094	2.359	-34.224	111.1	0.67
L7	growth_chamber	53	block2	B	ENVw+GENw	B2	1.900	1.763	0.815	4.478	0.815	29.4	1.459	43.414	2.855	-34.737	56.8	0.53
L7	growth_chamber	54	block2	B	ENVw+GENw	B2	2.534	1.647	1.602	5.783	1.602	30.5	0.591	43.921	2.277	-34.544	61.1	0.59
L7	growth_chamber	55	block2	BM	CTR	B1	0.570	9.531	2.727	12.828	2.727	23.0	1.433	41.527	1.202	-34.917	167.2	0.77
L7	growth_chamber	56	block2	BM	CTR	B1	0.606	10.804	3.307	14.717	3.307	21.6	1.379	42.090	1.247	-34.021	227.0	0.67
L7	growth_chamber	57	block2	BM	CTR	B1	0.954	9.467	2.706	13.127	2.706	25.8	0.615	42.808	1.691	-34.672	159.7	0.70
L7	growth_chamber	58	block2	BM	ENVw	B1	0.809	8.535	3.138	12.482	3.138	24.4	0.550	42.304	2.301	-34.030	201.7	0.65
L7	growth_chamber	59	block2	BM	ENVw	B1	0.841	9.431	4.771	15.043	4.771	23.0	0.620	41.912	3.103	-33.685	222.1	0.70
L7	growth_chamber	60	block2	BM	ENVw	B1	0.762	11.134	3.226	15.122	3.226	22.5	0.541	42.197	3.657	-34.393	180.0	0.66
L7	growth_chamber	61	block2	BM	ENVb	B1	1.087	8.711	3.426	13.224	3.426	25.0	1.241	42.587	2.587	-34.486	138.3	0.68
L7	growth_chamber	62	block2	BM	ENVb	B1	0.695	9.946	3.338	13.979	3.338	26.2	0.491	42.364	3.714	-34.524	170.6	
L7	growth_chamber	63	block2	BM	ENVb	B1	0.921	10.213	4.316	15.450	4.316	24.0	1.523	42.462	2.125	-34.413	159.3	0.79
L7	growth_chamber	64	block2	BM	GENw	B1	0.644	8.076	3.585	12.305	3.585	28.2	1.820	42.586	3.062	-33.372	222.7	0.77
L7	growth_chamber	65	block2	BM	GENw	B1	1.023	6.353	2.481	9.857	2.481	26.2	1.045	42.908	4.207	-33.395	127.3	0.64
L7	growth_chamber	66	block2	BM	GENw	B1	0.703	6.147	2.165	9.015	2.165	29.4	0.578	43.368	2.466	-33.798	172.2	0.78
L7	growth_chamber	67	block2	BM	GENb	B1	1.112	9.928	3.990	15.030	3.990	24.4	0.608	42.481	2.026	-33.585	149.0	0.69
L7	growth_chamber	68	block2	BM	GENb	B1	0.723	7.533	2.427	10.683	2.427	27.5	1.610	43.482	1.997	-34.639		0.77
L7	growth_chamber	69	block2	BM	GENb	B1	0.884	6.692	2.234	9.810	2.234	29.4	1.198	42.710	2.794	-34.158	215.2	0.71
L7	growth_chamber	70	block2	BM	ENVw+GENw	B1	0.964	9.096	3.206	13.266	3.206	34.5	0.613	41.600	3.187	-34.676	194.1	0.84
L7	growth_chamber	71	block2	BM	ENVw+GENw	B1	0.810	8.146	2.591	11.547	2.591	29.8	0.968	42.648	1.575	-34.311	161.6	
L7	growth_chamber	72	block2	BM	ENVw+GENw	B1	0.649	8.545	2.797	11.991	2.797	27.8	1.344	42.209	1.704	-34.411	164.9	0.65
L8	growth_chamber	1	block1	B	CTR	B1	0.688	1.317	0.705	2.710	0.705	27.0	1.387	44.377	3.078	-33.995	94.2	0.90
L8	growth_chamber	2	block1	B	CTR	B1	0.635	1.201	0.790	2.626	0.790	25.3	1.228	43.278	2.719	-33.692	84.9	0.93
L8	growth_chamber	3	block1	B	CTR	B1	0.397	1.548	0.768	2.713	0.768	25.8		43.492	3.635	-33.091	111.5	0.79
L8	growth_chamber	4	block1	B	ENVw	B1	0.549	1.519	1.900	3.968	1.900	26.5	1.983	43.307	4.674	-33.445	80.5	0.77
L8	growth_chamber	5	block1	B	ENVw	B1	0.503	1.488	2.624	4.615	2.624	23.0	1.065	45.221	4.119	-33.139	84.4	0.86
L8	growth_chamber	6	block1	B	ENVw	B1	0.461	1.303	0.866	2.630	0.866	22.8	1.251	45.206	3.928	-32.960	80.0	0.73
L8	growth_chamber	7	block1	B	ENVb	B1	0.607	1.319	1.788	3.714	1.788	24.8	1.261	44.850	3.431	-33.422	100.7	0.91
L8	growth_chamber	8	block1	B	ENVb	B1	0.390	1.573	1.612	3.575	1.612	22.8	1.037	44.488	3.504	-32.333	84.2	0.72
L8	growth_chamber	9	block1	B	ENVb	B1	0.365	1.626	1.756	3.747	1.756	24.7	1.101	44.173	3.906	-32.869	80.0	0.90
L8	growth_chamber	10	block1	B	GENw	B2	0.093	1.175	0.886	2.154	0.886	17.7	1.446	43.474		-32.525	67.0	0.99
L8	growth_chamber	11	block1	B	GENw	B2	0.080	1.443	0.751	2.274	0.751	17.0		44.246	3.556	-33.033	68.4	0.89
L8	growth_chamber	12	block1	B	GENw	B2	0.193	1.031	0.976	2.200	0.976	13.7		43.275	4.297	-33.090	53.5	0.78
L8	growth_chamber	13	block1	B	GENb	B1	0.458	1.438	1.105	3.001	1.105	27.8	1.252	44.715	3.049	-33.531	79.6	0.87
L8	growth_chamber	14	block1	B	GENb	B2	0.201	1.131	2.151	3.483	2.151	15.9	1.498	43.405		-33.129	96.0	0.90
L8	growth_chamber	15	block1	B	GENb	B2	0.000	1.059	1.822	2.881	1.822	11.9	1.705		3.523	-33.112	61.1	1.06
L8	growth_chamber	16	block1	B	ENVw+GENw	B2	0.076	1.550	1.446	3.072	1.446	16.3	1.353	44.038		-32.403	87.9	0.81
L8	growth_chamber	17	block1	B	ENVw+GENw	B2	0.199	1.464	1.542	3.205	1.542	16.2	1.943	42.970	4.436	-32.341	49.6	0.84
L8	growth_chamber	18	block1	B	ENVw+GENw	B2	0.089	1.064	2.554	3.707	2.554	15.3	1.361	43.338		-32.819	63.5	1.02
L8	growth_chamber	19	block1	BM	CTR	B1	0.291	3.960	2.118	6.369	2.118	25.7	0.732	42.888	3.143	-32.719	115.7	1.01
L8	growth_chamber	20	block1	BM	CTR	B1	0.507	4.549	2.487	7.543	2.487	24.7	0.706	44.075	3.800	-32.959	141.3	0.87
L8	growth_chamber	21	block1	BM	CTR	B1	0.281	3.039	1.990	5.310	1.990	29.0	1.062	44.267	3.396	-33.693	153.7	0.74
L8	growth_chamber	22	block1	BM	ENVw	B1	0.358		3.034	10.270	3.034	25.3	0.677	44.035	3.128	-31.812	159.7	0.82
L8	growth_chamber	23	block1	BM	ENVw	B1	0.171			10.245		27.5	0.697	43.972	3.866	-32.538	130.4	1.04
L8	growth_chamber	24	block1	BM	ENVw	B1	0.286	3.031	3.187	6.504	3.187	27.7	0.905	44.158	3.817	-33.248	170.4	0.76
L8	growth_chamber	25	block1	BM	ENVb	B1	0.157	3.371	3.265	6.793	3.265	24.7	1.481	44.377	1.946	-33.354	173.5	0.74
L8	growth_chamber	26	block1	BM	ENVb	B1	0.183	3.464	3.370	7.017	3.370	25.3	0.928	43.613	4.022	-33.107	170.8	0.70
L8	growth_chamber	27	block1	BM	ENVb	B1	0.286	2.954	1.350	4.590	1.350	24.3	0.997	43.261	3.341	-33.493	152.8	0.71
L8	growth_chamber	28	block1	BM	GENw	B1	0.062	2.613	2.523	5.198	2.523	18.2	1.188	42.533	5.531	-32.692	122.9	0.81
L8	growth_chamber	29	block1	BM	GENw	B1	0.050	2.507	3.163	5.720	3.163	17.0	1.474	42.635	2.957	-33.098	143.1	0.77
L8	growth_chamber	30	block1	BM	GENw	B1	0.070	2.981	2.307	5.358	2.307	18.8	1.291	43.640	1.752	-32.925	118.4	0.77
L8	growth_chamber	31	block1	BM	GENb	B1	0.116	2.972	1.784	4.872	1.784	24.3	1.254	43.664	1.497	-33.829	143.5	0.76
L8	growth_chamber	32	block1	BM	GENb	B1	0.045	1.756	1.455	3.256	1.455	16.3	1.431	42.226	3.156	-33.339	113.7	0.77
L8	growth_chamber	33	block1	BM	GENb	B1	0.003	2.300	1.545	3.848	1.545	14.0	1.666	43.624	3.704	-32.959	150.4	0.88
L8	growth_chamber	34	block1	BM	ENVw+GENw	B1	0.481	3.627	1.895	6.003	1.895	24.7	0.935	44.774	3.871	-32.321	168.8	0.69
L8	growth_chamber	35	block1	BM	ENVw+GENw	B1	0.104	3.732		8.439		19.3	1.036	43.804	4.483	-32.426	155.5	0.70
L8	growth_chamber	36	block1	BM	ENVw+GENw	B1	0.295	2.860	2.138	5.293	2.138	15.7	1.137	43.487	4.391	-32.620	142.5	0.64
L8	growth_chamber	37	block2	B	CTR	B1	0.217	0.839	0.577	1.633	0.577	21.8	1.329	43.778	3.494	-33.843	80.0	0.70
L8	growth_chamber	38	block2	B	CTR	B1	0.878	1.279	0.915	3.072	0.915	25.4	1.395	44.017	2.326	-34.070	132.8	0.86
L8	growth_chamber	39	block2	B	CTR	B1	0.467	1.254	0.755	2.476	0.755	22.3	1.378	44.451	2.186	-33.442	80.8	0.86
L8	growth_chamber	40	block2	B	ENVw	B1		2.029	1.499	4.670	1.499	27.5	0.997	45.358	2.938	-32.822	148.1	0.78
L8	growth_chamber	41	block2	B	ENVw	B1		2.402	1.679	5.264	1.679	27.5	1.632	45.351	3.226	-32.625	110.8	0.82
L8	growth_chamber	42	block2	B	ENVw	B1		2.434	1.293	5.293	1.293	28.7	1.017	44.651	4.053	-32.583	93.4	0.72
L8	growth_chamber	43	block2	B	ENVb	B1	0.478	1.454	0.475	2.407	0.475	25.0	1.423	44.253	1.984	-33.845	112.8	0.93
L8	growth_chamber	44	block2	B	ENVb	B1		2.623	1.426	5.718	1.426	24.7	1.184	45.918	2.402	-32.444	104.0	0.71
L8	growth_chamber	45	block2	B	ENVb	B1		2.378	1.780	5.264	1.780	27.3	0.976	45.018	4.064	-32.246	96.1	0.68
L8	growth_chamber	46	block2	B	GENw	B2	0.177	1.570	0.658	2.405	0.658	17.3	1.385	44.175	2.933	-32.821	64.0	0.90
L8	growth_chamber	47	block2	B	GENw	B2	0.070	1.316	1.191	2.577	1.191	18.2	1.479	44.648	2.809	-33.004	89.2	0.84
L8	growth_chamber	48	block2	B	GENw	B2	0.170	0.727	0.529	1.426	0.529	16.8	1.623	45.513	2.840	-33.310	79.2	0.63
L8	growth_chamber	49	block2	B	GENb	B1	0.488	1.086	1.310	2.884	1.310	28.2	1.206	43.441	2.294	-33.314	97.1	0.81
L8	growth_chamber	50	block2	B	GENb	B2	0.202	0.921	0.831	1.954	0.831	15.6	1.587	44.125	3.051	-32.752	48.1	0.90
L8	growth_chamber	51	block2	B	GENb	B2	0.274	1.165	0.338	1.777	0.338	19.5	1.535	42.914	3.218	-33.048	66.1	0.81
L8	growth_chamber	52	block2	B	ENVw+GENw	B2	0.365	2.400	2.208	4.973	2.208	19.3	1.330	44.538	2.339	-33.396	92.6	0.71
L8	growth_chamber	53	block2	B	ENVw+GENw	B2	0.640	2.456	1.846	4.942	1.846	19.4		45.116	2.368	-32.470	90.1	0.69
L8	growth_chamber	54	block2	B	ENVw+GENw	B2	0.682	2.622	3.000	6.304	3.000	21.1	1.852	44.836	2.291	-32.586	92.0	0.52
L8	growth_chamber	55	block2	BM	CTR	B1	0.387	4.333	1.709	6.429	1.709	26.3	0.858	44.397	2.807	-32.855	108.5	0.92
L8	growth_chamber	56	block2	BM	CTR	B1	0.172	4.682	2.317	7.171	2.317	22.7	0.817	44.155	2.628	-32.484	119.5	0.84
L8	growth_chamber	57	block2	BM	CTR	B1	0.162	3.847	1.787	5.796	1.787	23.7	1.020	43.736	2.853	-32.954	182.7	0.97
L8	growth_chamber	58	block2	BM	ENVw	B1	0.772	3.737		8.537		18.2	1.094	44.241	2.119	-32.592	104.4	0.81
L8	growth_chamber	59	block2	BM	ENVw	B1	0.976	4.458	3.458	8.892	3.458	23.0	0.933	44.385	2.468	-32.809	118.6	0.94
L8	growth_chamber	60	block2	BM	ENVw	B1	0.923	2.986	2.379	6.288	2.379	22.2	1.171	44.144	2.244	-32.764	121.2	0.68
L8	growth_chamber	61	block2	BM	ENVb	B1	0.082	2.175	1.207	3.464	1.207	20.5	1.202	42.998	2.970	-33.592	148.2	0.82
L8	growth_chamber	62	block2	BM	ENVb	B1	0.780	3.114	2.190	6.084	2.190	19.7	1.064	44.835	1.803	-32.657	139.8	0.72
L8	growth_chamber	63	block2	BM	ENVb	B1	0.697	2.894	1.913	5.504	1.913	21.3	1.372	43.958	2.269	-33.161	131.0	0.71
L8	growth_chamber	64	block2	BM	GENw	B1	0.122	2.703	1.401	4.226	1.401	18.0	1.053	43.331	2.011	-32.782	111.9	0.83
L8	growth_chamber	65	block2	BM	GENw	B1	0.123	2.321	1.488	3.932	1.488	19.0	1.275	43.337	3.565	-33.039	128.1	0.94
L8	growth_chamber	66	block2	BM	GENw	B1	0.095	2.794	2.041	4.930	2.041	16.3	1.303	43.564	3.588	-32.929	161.7	0.82
L8	growth_chamber	67	block2	BM	GENb	B1	0.249	3.154	1.439	4.842	1.439	25.0	1.047	43.759	2.850	-33.353	137.6	0.76
L8	growth_chamber	68	block2	BM	GENb	B1	0.015	2.231	1.567	3.813	1.567	17.3	1.420	44.198	3.488	-32.621	107.5	0.80
L8	growth_chamber	69	block2	BM	GENb	B1	0.098	1.837	1.649	3.584	1.649	20.0	1.446	43.968	2.474	-33.421	102.1	0.81
L8	growth_chamber	70	block2	BM	ENVw+GENw	B1	0.311	2.645	3.487	6.443	3.487	18.3	1.327	45.300	2.238	-32.498	123.7	0.66
L8	growth_chamber	71	block2	BM	ENVw+GENw	B1	0.180	2.472		6.999		15.7	1.295	44.719	1.957	-32.997	109.5	0.64
L8	growth_chamber	72	block2	BM	ENVw+GENw	B1	0.209	3.222	2.147	5.578	2.147	18.0	1.121	43.859	2.572	-32.798	131.3	0.62
L9	growth_chamber	1	block1	B	CTR	B1	1.020	2.289	0.853	4.162	0.853	28.4	0.484	44.776	1.859	-32.450	129.9	0.80
